issf_core_id,core_record_summary,geographic_scope_type,country__short_name,number_publications,region
2359,Abigail Hann,Local,Canada,0,North America & Canada
1071,Acosta Alejandro,Not specific,USA,8,North America & Canada
1165,Adam Fancy,Not specific,Canada,1,North America & Canada
1812,Adam Jadhav,National,India,4,Asia & Oceania
1355,Adam Soliman,Not specific,Canada,12,North America & Canada
3380,Adriano Prysthon,Local,Brazil,40,Latin America & the Caribbean
1505,Afam Anene,Not specific,Nigeria,45,Africa
1796,Ahmed S Khan,Not specific,,20,#N/A
1175,Alan Friedlander,Not specific,USA,11,North America & Canada
1401,Alan White,Regional,USA,5,North America & Canada
1193,Alasdair Harris,Not specific,Madagascar,15,Africa
2777,Alba Jurado-Ruzafa,Local,Spain,0,Europe
1717,Alejandro J. Cotto S,National,,3,#N/A
1075,Alexandre Alonso-Fernández,Not specific,Spain,19,Europe
3398,Alexis Nakandakari,Local,Peru,0,Latin America & the Caribbean
1319,Alexis Rife,Not specific,USA,2,North America & Canada
1690,Alfonso Aguilar-Perera,Local,Mexico,28,Latin America & the Caribbean
2369,Alice M.M. Miller,Global,United Kingdom,0,Europe
1549,Alicia Said,Not specific,Malta,0,Europe
3187,ALICIA SALDAÑA MILLÁN,Local,Mexico,1,Latin America & the Caribbean
1425,Alida BUNDY,Not specific,Canada,5,North America & Canada
1219,Alin Kadfak,Not specific,,2,#N/A
1816,ALIOU SALL,Local,Senegal,24,Africa
3534,Aliou SALL,Local,Senegal,0,Africa
1807,Alison L Neilson,Sub-national,Portugal,11,Europe
1655,Alison Macnaughton,Regional,,10,#N/A
1515,Alison Simmance,Not specific,United Kingdom,0,Europe
1960,Allain J.  Barnett,Sub-national,Canada,10,North America & Canada
1597,Alyne Delaney,Not specific,Denmark,30,Europe
3680,Amanda C Moeser,Local,USA,0,North America & Canada
1957,Amber Himes-Cornell,Regional,USA,5,North America & Canada
1131,Ana Cinti,Not specific,Argentina,13,Latin America & the Caribbean
1499,Anastasia Miliou,Not specific,Greece,11,Europe
1792,Andrés Felipe  Navia,Regional,Colombia,30,Latin America & the Caribbean
1517,Andrea J Nightingale,Not specific,Sweden,35,Europe
1279,Andrea Moreno,Not specific,,2,#N/A
2215,Andrew F Johnson,Sub-national,USA,0,North America & Canada
1119,Andy Bystrom,National,Costa Rica,1,Latin America & the Caribbean
1629,Angel Andres Villa Restrepo,Sub-national,Colombia,10,Latin America & the Caribbean
1237,Angela Lentisco,Not specific,,2,#N/A
3226,Anna Carlson,Regional,Italy,0,Europe
1343,Anna Schuhbauer,Not specific,Canada,2,North America & Canada
2318,Annie Lalancette,Local,Canada,0,North America & Canada
2468,Ann-Katrien LESCRAUWAET,Sub-national,Belgium,0,Europe
1443,Anthony (Tony) Charles,Not specific,Canada,15,North America & Canada
1365,Antonio Terlizzi,Not specific,Italy,10,Europe
1239,Arielle Levine,Not specific,USA,11,North America & Canada
1539,ARMANDO ORTEGA-LARA,Not specific,Colombia,25,Latin America & the Caribbean
1159,Arne Eide,Not specific,Norway,0,Europe
2364,Arne Kinds,Regional,Belgium,18,Europe
1211,Ayana Johnson,Not specific,USA,2,North America & Canada
2552,Aylin Ulman,National,Italy,0,Europe
1381,Aylin Ulman,Not specific,Canada,0,North America & Canada
2363,Bailey Anderson,Local,Canada,0,North America & Canada
2540,Barbara Quimby,Local,USA,0,North America & Canada
1311,Barigela Ramachandrudu,Not specific,India,3,Asia & Oceania
1407,Becky Wright,Not specific,USA,0,North America & Canada
1091,ben belton,Not specific,Bangladesh,20,Asia & Oceania
1651,Berchie Asiedu,Not specific,Ghana,15,Africa
1563,Bjarnason Thoroddur,Not specific,Iceland,98,Europe
2235,Blue Ventures,Local,Madagascar,0,Africa
1263,Bonnie McCay,Not specific,USA,10,North America & Canada
1495,Box Stephen,Not specific,USA,35,North America & Canada
1619,Brent Theophile,Not specific,Trinidad and Tobago,18,Latin America & the Caribbean
3517,Brice Trouillet,Regional,France,24,Europe
1503,Cédric Boisrobert,Regional,France,5,Europe
1107,Camilla Brattland,Not specific,Norway,12,Europe
3239,Carla G.  Dario,Local,USA,0,North America & Canada
3424,Carla Mouro,Local,Portugal,0,Europe
1553,Carlos Garcia de Leaniz,Not specific,United Kingdom,47,Europe
1613,Carlos Garcia-Quijano,Not specific,USA,26,North America & Canada
1413,Carmel Finley,Not specific,USA,4,North America & Canada
1317,Carmen Revenga,Not specific,USA,4,North America & Canada
1403,Carole White,Not specific,United Kingdom,0,Europe
2277,Carolina Chong,Not specific,Germany,0,Europe
3243,Carolina Doria,Local,Brazil,30,Latin America & the Caribbean
1063,Caroline Abunge,Not specific,Kenya,7,Africa
1661,Carrie Pomeroy,Not specific,USA,48,North America & Canada
1479,Carsten Wentink,Not specific,Netherlands,1,Europe
2280,Catalina López-Sagástegui,Sub-national,USA,0,North America & Canada
1963,Cecile Brugere,Regional,United Kingdom,0,Europe
1395,CHERDSAK VIRAPAT,Not specific,Malta,3,Europe
3519,Christine M Beitl,National,USA,0,North America & Canada
1471,CHRISTOPHER CU NWAFOR,Not specific,South Africa,2,Africa
2358,Christopher W. Dabon,Local,Canada,0,North America & Canada
3708,Clara Monaco,Global,Italy,25,Europe
1149,Claudia Elizabeth Delgado Ramírez,Not specific,Mexico,5,Latin America & the Caribbean
1171,Clive Fox,Not specific,United Kingdom,5,Europe
1121,Courtney Carothers,Local,USA,15,North America & Canada
1609,Cristiana Seixas,Not specific,Brazil,28,Latin America & the Caribbean
1647,Cristina Pita,National,Portugal,30,Europe
1639,Cynthia Grace-McCaskey,Not specific,USA,11,North America & Canada
1431,Dale Squires,Not specific,USA,10,North America & Canada
1575,Dan R. Mombourquette,Local,Canada,1,North America & Canada
1736,"Daniel ""Ramiro"" Quijano",Sub-national,Mexico,0,Latin America & the Caribbean
2521,Daniele A. Vila Nova,National,Brazil,8,Latin America & the Caribbean
1157,Danielle Edwards,Not specific,Canada,4,North America & Canada
1225,Danika L Kleiber,Not specific,Canada,0,North America & Canada
1369,Daracha Thiammueang,Not specific,Thailand,2,Asia & Oceania
2320,David Bishop,Local,Canada,0,North America & Canada
1519,David Florido,Not specific,Spain,30,Europe
3636,David G Parker,Global,United Kingdom,0,Europe
1750,David G. McGrath,Sub-national,USA,31,North America & Canada
1393,David Villegas-Ríos,Not specific,Spain,5,Europe
1315,Davis Reade,Not specific,Canada,6,North America & Canada
1475,De Santana Iramaia,Not specific,Brazil,2,Latin America & the Caribbean
1089,Dean Bavington,Not specific,Canada,5,North America & Canada
1765,Debangshu Narayan DND Das,Not specific,,43,#N/A
2356,Debora M De Freitas,Global,Brazil,0,Latin America & the Caribbean
2302,Deirdre Duggan,Sub-national,Indonesia,0,Asia & Oceania
1195,Denis Hellebrandt,Not specific,United Kingdom,10,Europe
1467,Derek Armitage,Not specific,Canada,50,North America & Canada
1213,Derek Johnson,Not specific,Canada,12,North America & Canada
3314,Diego Salgueiro-Otero,Regional,Spain,0,Europe
1509,Durga Thigale,Not specific,India,1,Asia & Oceania
2416,Dylan Hynes,National,Canada,0,North America & Canada
1111,Easkey R Britton,Not specific,Canada,2,North America & Canada
1453,Edward Allison,Not specific,USA,104,North America & Canada
1181,Edward Glazier,Not specific,USA,15,North America & Canada
1615,Ehsan Kamrani,National,Iran,60,Asia & Oceania
2331,Eirini Ioanna Vlachopoulou,Global,Greece,10,Europe
1167,Elena M. Finkbeiner,Sub-national,USA,12,North America & Canada
1557,Elizabeth Figus,Not specific,USA,3,North America & Canada
1199,Ellen Hines,Not specific,USA,5,North America & Canada
2471,Ellen Pecceu,Regional,Belgium,27,Europe
1267,Emily McGregor,Not specific,South Africa,0,Africa
2426,Enahoro D Ofori,Sub-national,Canada,0,North America & Canada
1681,Enrique Alonso Poblacion,Not specific,Spain,19,Europe
1115,Eny Buchary,Not specific,Sweden,20,Europe
1177,Eranga K Galappaththi,Local,Canada,5,North America & Canada
1725,Eric G Rogers,Not specific,Canada,0,North America & Canada
1599,Erika Parrill,Not specific,Canada,3,North America & Canada
3525,Erin Loury,Regional,USA,0,North America & Canada
1489,Erwin  Rathnaweera ,Not specific,Sri Lanka,15,Asia & Oceania
1379,Evangelos Tzanatos,Not specific,Greece,13,Europe
1421,Evelyn Pinkerton,Not specific,Canada,20,North America & Canada
1782,Fabian Escobar-Toledo,National,Colombia,6,Latin America & the Caribbean
1973,Fabio Madau,Not specific,Italy,70,Europe
1977,Fabio Pranovi,Not specific,Italy,40,Europe
1771,Fabricio FGC Gandini,Not specific,,0,#N/A
1097,Fikret Berkes,Not specific,Canada,30,North America & Canada
1591,Fiona FS Simmance,Global,United Kingdom,1,Europe
1417,Fiona McCormack,Not specific,New Zealand,7,Asia & Oceania
1287,Fiona Nunan,Not specific,United Kingdom,8,Europe
1331,Fran Saborido-Rey,Not specific,Spain,90,Europe
1581,Francis K. E. Nunoo,Not specific,Ghana,40,Africa
3574,Francis M. Nwosu,Local,Nigeria,0,Africa
1435,FRANCISCO ARREGUIN-SANCHEZ,Not specific,Mexico,19,Latin America & the Caribbean
1838,Francisco F.A. Araos,National,,10,#N/A
2326,Francisco Fernandez,National,Mexico,20,Latin America & the Caribbean
2492,Frankwin van Winsen,Local,Belgium,0,Europe
1457,Freddy Arocha,Not specific,Venezuela,50,Latin America & the Caribbean
1221,FULGENCIO KAYISO,Not specific,Uganda,4,Africa
3282,Gökhan Gökçe,Local,Turkey,0,Europe
1649,Gabriela Galindo-Cortes,Not specific,Mexico,13,Latin America & the Caribbean
1329,Gabriela Sabau,Not specific,Canada,1,North America & Canada
1776,GALLARDO GALLARDO GARCIA,National,Colombia,2,Latin America & the Caribbean
1125,Genoveva Cerdenares,Not specific,Chile,10,Latin America & the Caribbean
2221,George Freduah,Local,Australia,0,Asia & Oceania
1389,Gilles van de Walle,Not specific,USA,10,North America & Canada
1603,Giovanni Bearzi,Not specific,,84,#N/A
3611,Godfred Ameyaw Asiedu,Local,Ghana,0,Africa
1301,Graham Pierce,Not specific,United Kingdom,5,Europe
1978,Grant Murray,Not specific,Canada,0,North America & Canada
1183,Gretchen Grebe,Not specific,USA,0,North America & Canada
2538,Gustavo A. Castellanos-Galindo,National,Germany,0,Europe
1533,Gustavo E. Chiaramonte,Not specific,Argentina,24,Latin America & the Caribbean
3346,H S MOGALEKAR,National,India,16,Asia & Oceania
1143,Hannah Darrin,Not specific,Mozambique,1,Africa
2126,Hannah R Bassett,Not specific,USA,0,North America & Canada
3256,Hans Ruperti Loor,Local,Ecuador,3,Latin America & the Caribbean
1547,Harun Guclusoy,Not specific,Turkey,53,Europe
1497,Helen HMP Poulos,Not specific,USA,23,North America & Canada
1696,helven helven naranjo madrigal,National,USA,5,North America & Canada
1129,Heqin Cheng,Not specific,China,12,Asia & Oceania
1299,Hoyt Peckham,Not specific,Mexico,20,Latin America & the Caribbean
1501,Hugh Govan,Regional,Fiji,50,Asia & Oceania
1607,Hugo Juliano  Hermógenes da Silva,Not specific,Brazil,6,Latin America & the Caribbean
1269,Iain McKechnie,Regional,Canada,14,North America & Canada
1257,Ingrid Machado,Not specific,Brazil,26,Latin America & the Caribbean
1137,Irene Crona,Not specific,Sweden,19,Europe
1567,Irmak Ertör,Regional,Turkey,12,Europe
4013,Isabela Figueroa,Local,Colombia,3,Latin America & the Caribbean
1723,ISSF Staff,Local,Canada,0,North America & Canada
1621,Ivan M Martins,Not specific,Brazil,3,Latin America & the Caribbean
1261,Ivan Martinez,Not specific,Mexico,3,Latin America & the Caribbean
3305,IVAN MARTINEZ TOVAR,Global,USA,0,North America & Canada
3509,Jack Daly,Local,Canada,0,North America & Canada
1201,Jafer Hisham,Not specific,India,1,Asia & Oceania
1583,Jaime Otero,Not specific,Spain,19,Europe
1790,James H. Prescott,Regional,,1,#N/A
1349,James W Shewmake,Not specific,,0,#N/A
1423,James Wilson,Not specific,USA,15,North America & Canada
2487,Jan Reubens,Regional,Belgium,0,Europe
2465,Janne Rohe,Local,Germany,0,Europe
1357,Jariya Sornkliang,Not specific,Thailand,0,Asia & Oceania
1277,Jeffrey Moore,Not specific,USA,3,North America & Canada
1109,Jennifer Brewer,Not specific,USA,12,North America & Canada
3393,JENNIFER MARIE S AMPARO,Local,Philippines,0,Asia & Oceania
1345,Jennifer Selgrath,Not specific,Canada,4,North America & Canada
1419,Jennifer Silver,Not specific,Canada,5,North America & Canada
2484,Jens Revold,Local,Norway,0,Europe
1461,Jeppe DR Kolding,Global,Norway,42,Europe
1641,Jeppe Kolding,Not specific,Norway,40,Europe
1441,Jesper Raakjær,Not specific,Denmark,15,Europe
1709,Ji He,Not specific,Canada,0,North America & Canada
1551,João Barreiros,Not specific,Portugal,43,Europe
1593,Jock Campbell,Not specific,United Kingdom,3,Europe
1800,Joeri Scholtens,Local,Netherlands,7,Europe
1511,Johan Hultman,Not specific,Sweden,35,Europe
1743,John G Ramirez,National,Spain,0,Europe
1223,John Kittinger,Not specific,,12,#N/A
1513,John Phyne,Not specific,Canada,10,North America & Canada
1521,Jono Wilson,Not specific,USA,10,North America & Canada
1463,Joonas Plaan,Not specific,Canada,2,North America & Canada
1605,Jorge Adrian Rosales-Casián,Not specific,Mexico,16,Latin America & the Caribbean
1787,Jorge H Maldonado,Not specific,Colombia,34,Latin America & the Caribbean
3637,JORGE RAMIREZ-GONZALEZ,Local,Ecuador,13,Latin America & the Caribbean
3306,José  J Castro Hernández,Local,Spain,32,Europe
1197,José Carlos Hernández,Not specific,Spain,4,Europe
1798,José Iván Velázquez Abunader,Not specific,Mexico,10,Latin America & the Caribbean
1611,José M Andriguetto-Filho,Not specific,Brazil,27,Latin America & the Caribbean
1295,Jose J. Pascual-Fernandez,National,Spain,50,Europe
1247,Josep LLORET,Not specific,Spain,10,Europe
3571,Joseph Ginindza,Local,South Africa,0,Africa
2064,Joseph O Luomba,National,Canada,0,North America & Canada
2743,Joshua  Stoll,Local,USA,0,North America & Canada
3608,Joshua B Murphy,Local,Canada,0,North America & Canada
1535,Juan Villasenor-Derbez,Not specific,Mexico,2,Latin America & the Caribbean
1069,Juan-Luis Alegret,Not specific,Spain,10,Europe
3297,Julia M.P. Carvalho,Local,Brazil,0,Latin America & the Caribbean
1285,Julia Novak Colwell,Not specific,USA,2,North America & Canada
3386,Julián  Idrobo,Local,Colombia,12,Latin America & the Caribbean
1507,Julián Idrobo,Not specific,,10,#N/A
1383,Julie Urquhart,Not specific,,20,#N/A
2377,Juliette Alemany,Local,France,0,Europe
1339,Jyothis Sathyapalan,Regional,India,6,Asia & Oceania
1397,K. Kuperan Viswanathan,Not specific,Malaysia,68,Asia & Oceania
1251,Kai Lorenzen,Not specific,USA,40,North America & Canada
1161,KARIM ERZINI,Not specific,Portugal,105,Europe
1081,Kate Barclay,Sub-national,Australia,33,Asia & Oceania
1083,Kate Barley,Local,Canada,0,North America & Canada
1347,Katherine Seto,Not specific,USA,1,North America & Canada
1451,Katia Frangoudes,Not specific,France,20,Europe
2489,Katrien Verlé,National,Belgium,4,Europe
1427,Kefasi Nyikahadzoi,Not specific,Zimbabwe,10,Africa
1455,Kerrie O'Donnell,Not specific,Canada,10,North America & Canada
1289,Kerrie O'Donnell,Not specific,Canada,3,North America & Canada
1399,Kevin Weng,Not specific,USA,1,North America & Canada
2491,Kim Sys,Local,Belgium,0,Europe
1635,Kirsten Abernethy,Not specific,United Kingdom,10,Europe
